,Encounter #,Location,Date,Weapon,Wielder,Attack Type,Target,Acute Effect,Latent Effect,Fight Context,Notes 1,Notes 2,Notes 3,Citation,Text,Continent
10,2,"Achadelew, Scotland",1654.0,Broadsword,unspecified,Cut,Torso,Death,,unspecified,Bisection,,,BSF 284,"many, who were struck upon the collar bone, showed an orifice or gash much wider than that made by the blow of the heaviest hatchet; and often the shearing blade, where the blow was full and met with no extraordinary obstruction, penetrated so deep as to discover part of the entrails",Europe
11,3,"Drumclog, Scotland",1679.0,Broadsword,"Thomas Brownlee, Laird of Torfoot",Cut,Arm,Incapacitation,Incapacitation,Foot,Arm immobilized,,,BSF 285,"“‘Leave the madman to me—leave the field instantly,’ said I to my party, whom I could hardly restrain. My sword fell on his right shoulder. His sword dropped from his hand.",Europe
12,3,"Drumclog, Scotland",1679.0,Broadsword,"Thomas Brownlee, Laird of Torfoot",Cut,Head,Death,,Foot,Bisection,Cut through mouth,,BSF 285,"Though I was faint with loss of blood, I left him no time for another blow. My sword glanced on his shoulder, cut through his buff coat and flesh, swept through his jaw, and laid open his throat from ear to ear. The fire of his ferocious eyes was quenched in a moment. He reeled; and falling with a terrible clash, he poured out his soul, with a torrent of blood, on the heath.",Europe
13,3,"Drumclog, Scotland",1679.0,Broadsword,English Captain Arrol,Thrust,unspecified,Ineffective,Ineffective,Foot,,,,BSF 285,"I parried his blows till he was nearly exhausted; but gathering up his huge limbs, he put forth all his energy in a thrust at my heart. My Andrea Ferrara received it, so as to weaken its deadly force, but it made a deep cut.",Europe
14,3,"Drumclog, Scotland",1679.0,Broadsword,"Thomas Brownlee, Laird of Torfoot",Cut,Arm,Ineffective,Ineffective,Horse,Armor effectiveness,,,BSF 285,"“We fought in silence. My stroke fell on his left shoulder; it cut the belt of his carbine, which fell to the ground.",Europe
15,3,"Drumclog, Scotland",1679.0,Broadsword,"Thomas Brownlee, Laird of Torfoot",Cut,Head,Ineffective,Ineffective,Horse,Grappling,,,BSF 285,"He had now advanced too near to me to be struck with the sword. I grasped him by the collar. I pushed him backwards; and with an entangled blow of my Ferrara, I struck him across his throat. It cut only the strap of his headpiece, and it fell off.",Europe
16,3,"Drumclog, Scotland",1679.0,Broadsword,English Captain Arrol,Cut,Torso,Ineffective,Ineffective,Horse,,,,BSF 285,"His blow cut me to the rib, glanced along the bone, and rid me also of the weight of my carbine.",Europe
17,4,"Drumclog, Scotland",1679.0,Broadsword,Burley,Cut,Head,Incapacitation,Incapacitation,Horse,Dehorsing,,,BSF 286,"At that moment, Burley pushed into the hollow square. His heavy sword descended on the head of Clavers’ horse, and felled him to the ground. Clavers’ faithful dragoons drove Burley back. Clavers was, in an instant, on a fresh steed.",Europe
18,5,"Drumclog, Scotland",1679.0,Broadsword,Nisbet,Cut,Arm,Incapacitation,Incapacitation,Horse,,,,BSF 287,"“At this moment, one of the Life Guards aimed a blow at Hackston. My sword received it, and a stroke from Nisbet laid the foeman’s hand and sword in the dust. He fainted and tumbled from his saddle.",Europe
19,6,"Drumclog, Scotland",1679.0,Broadsword,"Thomas Brownlee, Laird of Torfoot",Cut,Arm,Ineffective,Ineffective,Horse,,,,BSF 287,"Kennoway, one of Clavers’ officers, led them on. ‘He falls to my share,’ said I. I advanced—he met me. I parried several thrusts. He received a cut on the left arm; and the sword, by the same stroke, shore off one of his horse’s ears.",Europe
20,6,"Drumclog, Scotland",1679.0,Broadsword,"Thomas Brownlee, Laird of Torfoot",Cut,Arm,Ineffective,Ineffective,Horse,,,,BSF 287,My blow fell on his sword arm.,Europe
21,6,"Drumclog, Scotland",1679.0,Broadsword,Kennoway,Cut,Arm,Ineffective,Ineffective,Horse,,,,BSF 287,I received a stroke on the left shoulder.,Europe
22,6,"Drumclog, Scotland",1679.0,Broadsword,"Thomas Brownlee, Laird of Torfoot",Cut,Head,Incapacitation,Incapacitation,Horse,Armor effectiveness,,,BSF 287,"And before he could recover a position of defence, my sword fell with a terrible blow on his steel cap. Stunned by the blow, he bent himself forward; and grasping the mane, he tumbled from his saddle; and his steed galloped over the field. I did not repeat the blow. His left hand presented his sword; his right arm was disabled; his life was given to him.",Europe
23,6,"Drumclog, Scotland",1679.0,Broadsword,"Thomas Brownlee, Laird of Torfoot",Cut,Head,Ineffective,Ineffective,Horse,,,,BSF 287,"He reined his horse around, retreated a few paces, then returned at full gallop. My courser reared instinctively as his approached. I received his stroke on the back of my Ferrara; and by a back-stroke, I gave him a deep cut on the cheek.",Europe
24,7,"Ayr’s Moss, Scotland",1680.0,Broadsword,Capt. John Creichton,Cut,Head,Death,,Horse,Bisection,,,BSF 289,"Fowler, turning about, aimed a blow at me; but I warded it off, and with a backstroke, cut the upper part of his head clean off, from the nose upwards.",Europe
25,8,"Ayr’s Moss, Scotland",1680.0,Broadsword,Capt. John Creichton,Strike,Head,Ineffective,Ineffective,Foot,Halfswording,,,BSF 290,"“After some time, I a little recovered my senses and strove to lift myself up, which one of the rogues happening to see at some distance, immediately returned and said in my hearing, ‘God, the dog is no’ deed yet!’—then, coming up to me, took his sword, and putting its hilt to his breast and guiding it with both his hands, made a thrust at my belly; but my senses were now so far recovered that I parried the thrust with a piece of the sword which remained still in my hand. The fellow, when he missed his aim, almost fell on his face; for the sword ran up to the hilt in the moss; and as he was recovering himself, I gave him a dab in the mouth with my broken sword, which very much hurt him;",Europe
26,8,"Ayr’s Moss, Scotland",1680.0,Broadsword,Capt. John Creichton,Strike,Head,Ineffective,Ineffective,Foot,Morale kill,,,BSF 290,"but he aiming a second thrust, which I had likewise the good fortune to put by, and having as before given him another dab in the mouth, he immediately went off for fear of the pursuers, whereof many were now returning.",Europe
27,8,"Ayr’s Moss, Scotland",1680.0,Broadsword,Rebel Swordsman,Strike,Head,Incapacitation,Incapacitation,Foot,Concussion,,,BSF 289,"another came behind me, and with some weapon or other, struck me such a blow on the head as laid me flat on my back, in which posture I remained a good while insensible.",Europe
28,8,"Ayr’s Moss, Scotland",1680.0,Broadsword,Capt. John Creichton,Cut,Head,Death,,Horse,Sword break,,,BSF 289,"Then I threw myself over the head of my horse, taking the far pistol out of the holster in my left hand, and holding my broadsword in my right; and as one of the villains was coming hastily up to me, his foot slipped; and before he could recover himself, I struck my sword into his skull; but the fellow, being big and heavy, snapped it asunder as he fell, within a span of the hilt.",Europe
29,8,"Ayr’s Moss, Scotland",1680.0,Broadsword,Rebel Swordsman,Thrust,Torso,Ineffective,Ineffective,Horse,,,,BSF 289,"“As I was paddling in the hole, the horse not able to get out, one of the rebels ran me through the small of the back with his broadsword; and at the same instant, two more wounded me under the ribs with their small ones.",Europe
30,8,"Ayr’s Moss, Scotland",1680.0,Smallsword,Rebel Swordsman,Thrust,Torso,Ineffective,Ineffective,Horse,,,,BSF 289,"“As I was paddling in the hole, the horse not able to get out, one of the rebels ran me through the small of the back with his broadsword; and at the same instant, two more wounded me under the ribs with their small ones.",Europe
31,8,"Ayr’s Moss, Scotland",1680.0,Smallsword,Rebel Swordsman,Thrust,Torso,Ineffective,Ineffective,Horse,,,,BSF 289,"“As I was paddling in the hole, the horse not able to get out, one of the rebels ran me through the small of the back with his broadsword; and at the same instant, two more wounded me under the ribs with their small ones.",Europe
32,9,"Inniskilling, Ireland",1689.0,Polearm,Jacobite Sergeant,Thrust,Leg,Ineffective,Ineffective,Foot,Thrust stuck in wound,,,BSF 290,"While he was bleeding in this condition, a sergeant darted his halberd at him with such fury that he struck it through his thigh and could not draw it out again. Wilson, roused as from death, made his last effort, tore the halberd out of his thigh, and collecting his whole strength, darted it through the heart of his enemy. By the assistance of the halberd, he dragged his mangled limbs to Enniskillen, where he was wonderfully cured and lived thirty years after.”",Europe
33,9,"Inniskilling, Ireland",1689.0,Broadsword,Jacobite Troopers,Cut,Multiple,Ineffective,Ineffective,Foot vs Horse,,,,BSF 290,"John Wilson, a foot soldier, in this general slaughter of his [Williamite] companions, stood the shock of several of the [Jacobite] troopers, who, all together, were hewing at him. Some he stabbed with his bayonet, others he knocked down with his musket; and when his arms dropped from his hands, he leaped up at them, tore down some, and threw them under their horses’ feet. At length, oppressed with twelve desperate wounds, one of which was quite across his face, so that his nose and cheeks hung over his chin, he sunk down in a shrubby bush.",Europe
34,9,"Newtown Butler, Ireland",1689.0,Broadsword,Captain William Smith,Cut,Head,Death,,unspecified,Bisection,,,BSF 290,"“There was a very remarkable stroke given by Captain William Smith [of the Inniskilling Dragoons]. With one blow of his sword, he cut off the upper part of a man’s skull, just under the hat. As much of the skull as was within the hat, with all the brains it contained, was struck away from the under part of it; and not so much as a fibre of the skin remained to keep them together",Europe
35,10,Argaum,1803.0,Polearm,Maratha Partisan,Thrust,Leg,Ineffective,Ineffective,Foot,Thrust stuck in wound,,,BSF 290,"Langlands, of the 74th, was close to us in the action, when a powerful Arab [Maratha partisan] threw a spear at him, and drawing his sword, rushed forward to complete his conquest. The spear, having entered the flesh of the leg and cut its way out again, stuck in the ground behind him, when Langlands grasped it, and turning the point, threw it with so true an aim that it went right through his opponent’s body, and transfixed him within three or four yards of his intended victim!”",Asia
36,10,"Killiecrankie, Scotland",1689.0,Greatsword,McDonald Chieftan Alister Dhu,Cut,Various,Incapacitation,Incapacitation,Foot,Crowd control,,,BSF 291,"The clan of the MacDonnells [or MacDonalds] of Glengarry, which was commanded by its chieftain, Alister Dhu, a celebrated warrior, fought on that day with courage above its fellows. Before the fight commenced, a Highland officer in Mackay’s army, with that respect for the clan MacDonald which is observably so general among the northern tribes, counselled his general to place a [six-deep] double file of men at that part of the line which corresponded with the position of the Glengarry battalion, which Mackay accordingly did. Even that, however, was insufficient to withstand the fury of the MacDonnells. The chieftain himself bore a prodigious two-handed sword, with which, at every step he took, he killed two men, one on each side.",Europe
37,11,"Killiecrankie, Scotland",1689.0,Broadsword,Reverend Mr. Robert Stewart,Cut,Torso,Death,,Foot,Bisection,,,BSF 292,"After which, substituting himself in place of the two former combatants, and flourishing his broadsword over his head several times, he brought down such a heavy blow upon the shoulder of the unfortunate officer that he cut a complete seam athwart his body, from the collar to the thigh, and laid him at once lifeless upon the ground.",Europe
38,12,"Killiecrankie, Scotland",1689.0,Various,Various,Cut,Various,Death,,Foot,Battle aftermath,,,BSF 293,"Here might be seen a skull which had been struck off above the ears by a stroke from a broadsword—there a head lying near the trunk from which it had been severed—here an arm or a limb—there a corpse laid open from the head to the brisket; while interspersed among these lifeless trunks, dejectaque membra, were to be seen broken pikes, smallswords, and muskets, which had been snapt asunder by the athletic blows of the Lochaber axe and broadsword.",Europe
39,13,"Killiecrankie, Scotland",1689.0,Broadsword,Various,Cut,Various,Death,,Foot,Battle aftermath,,,BSF 293,"“In allusion to this battle, the author of the memoirs of Viscount Dundee says, ‘The Highlanders fired, threw down their fusils, rushed in upon the enemy (with sword, target, and pistol), who did not maintain their ground two minutes after the Highlanders were amongst them; and I dare be bold to say, there were scarce ever such strokes given in Europe as were given that day by the Highlanders. Many of General Mackay’s officers and soldiers were cut down through the skull and neck, to the very breasts; others had skulls cut off above their ears, like night caps; some soldiers had both their bodies and cross belts cut through at one blow; pikes and smallswords were cut like willows; and whoever doubts of this may consult the witnesses of the tragedy.’” (James Browne, History of the Highlands, 1840.)",Europe
40,14,"Killiecrankie, Scotland",1689.0,Broadsword,Various,Cut,Various,Death,,Foot,Battle aftermath,,,BSF 294,"Many had their heads divided into two halves by one blow; others had their skulls cut off above the ears by a back-stroke, like a night cap. Their thick buff belts were not sufficient to defend their shoulders from such deep gashes as almost disclosed their entrails. Several pikes, smallswords, and the like weapons were cut quite through; and some that had skull caps had them so beat into their brains that they died upon the spot.",Europe
41,15,"Killiecrankie, Scotland",1689.0,Greatsword,Various,Cut,Various,Death,,Foot,Battle aftermath,,,BSF 294,"Limbs lopped off, heads cleft in two, and bodies cut asunder by a single stroke of the tremendous two-handed sword, are among the deeds recorded of this day",Europe
42,16,"Sheriff Muir, Scotland",1715.0,Saber,Horseman,Cut,Arm,Ineffective,Ineffective,Horse,,,,BSF 295,"A horseman, seeing this, sprung forward on Donald like a tiger. A small watercourse was between them, with the aid of which Donald was able to make a stand. But the horseman, with his long sword, wounded him in the shoulder",Europe
43,16,"Sheriff Muir, Scotland",1715.0,Broadsword,Sgt. Donald Macleod,Cut,Head,Death,,Horse,Decapitation,,,BSF 295,"a French officer, perceiving that our hero was making great havoc with his broadsword wherever he went, had the courage to oppose him; but, in a few minutes, his head was, by a touch of Macleod’s hand, severed from his body.",Europe
44,16,"Sheriff Muir, Scotland",1715.0,Saber,Sgt. Donald Macleod,Cut,Head,Ineffective,Ineffective,unspecified,"Brain wound did not end fight, injury later healed",,,BSF 295,"when he leaped forward across the watercourse and plunged his sword into the horse’s belly. The animal fell down; and his rider was immediately hewn in pieces by the enraged serjeant, who, in the act of stabbing the horse, had been cut in the head by the horseman’s sabre, into the very brain. He bound his head fast with a handkerchief; otherwise, as he says, he verily believes it would have fallen into pieces.” His fractured skull was later repaired. (Memoirs of the Life and Gallant Exploits of the Old Highlander, Serjeant Donald Macleod, 1791.)",Europe
45,17,"Preston Pans, Scotland",1745.0,Polearm,MacGregor Infantry,Cut,Various,Incapacitation,Incapacitation,Foot vs Horse,Bisection,Dismemberment,,BSF 296,"“Captain Macgregor, of the Duke of Perth’s Regiment, for want of other arms, procured scythes, which he sharpened and fixed to poles of from seven to eight feet long. With these he armed his company, and they proved very destructive weapons. … Macgregor’s company did great execution with their scythes. They cut the legs of the horses in two, their riders through the middle of their bodies. The Highlanders instantly fell on the flanks of the infantry, which, being uncovered and exposed from the flight of the cavalry, immediately gave way. Thus, in less than five minutes, we obtained a complete victory, with a terrible carnage on the part of the enemy.”",Europe
46,18,"Preston Pans, Scotland",1745.0,Broadsword,MacGregor Infantry,Cut,Arm,Incapacitation,Incapacitation,Foot,,Dismemberment,,BSF 296,"it is a well-authenticated fact that ‘a Highland gentleman, after breaking through Murray’s regiment, gave a grenadier a blow which not only severed the arm raised to ward it off, but cut the skull an inch deep, so that the man immediately died.’",Europe
47,18,"Preston Pans, Scotland",1745.0,Broadsword,MacGregor Infantry,Cut,Head,Death,,Foot,,,,BSF 296,"it is a well-authenticated fact that ‘a Highland gentleman, after breaking through Murray’s regiment, gave a grenadier a blow which not only severed the arm raised to ward it off, but cut the skull an inch deep, so that the man immediately died.’",Europe
48,18,"Preston Pans, Scotland",1745.0,Polearm,MacGregor Infantry,Cut,Head,Incapacitation,Incapacitation,Foot vs Horse,Bisection,Dismemberment,,BSF 296,"A small party of MacGregors, in particular, bearing for their only arms the blades of scythes fastened end-long upon poles, clove heads to the chin, cut off the legs of horses, and even, it is said, laid the bodies of men in two distinct pieces upon the field.",Europe
49,18,"Preston Pans, Scotland",1745.0,Polearm,MacGregor Infantry,Cut,Head,Incapacitation,Incapacitation,Foot vs Horse,Bisection,Dismemberment,,BSF 296,"A small party of MacGregors, in particular, bearing for their only arms the blades of scythes fastened end-long upon poles, clove heads to the chin, cut off the legs of horses, and even, it is said, laid the bodies of men in two distinct pieces upon the field.",Europe
50,18,"Preston Pans, Scotland",1745.0,Broadsword,MacGregor Infantry,Cut,Leg,Incapacitation,Incapacitation,Foot vs Horse,Dismemberment,Dismemberment,,BSF 296,"With the broadsword alone, strength and skill enabled them to do prodigious execution. Men’s feet and hands, and also the feet of horses, were severed from the limbs by that powerful weapon",Europe
51,18,"Preston Pans, Scotland",1745.0,Polearm,MacGregor Infantry,Cut,Torso,Incapacitation,Incapacitation,Foot vs Horse,Bisection,Dismemberment,,BSF 296,"A small party of MacGregors, in particular, bearing for their only arms the blades of scythes fastened end-long upon poles, clove heads to the chin, cut off the legs of horses, and even, it is said, laid the bodies of men in two distinct pieces upon the field.",Europe
52,18,"Preston Pans, Scotland",1745.0,Broadsword,MacGregor Infantry,Cut,Arm,Incapacitation,Incapacitation,unspecified,,Dismemberment,,BSF 296,"With the broadsword alone, strength and skill enabled them to do prodigious execution. Men’s feet and hands, and also the feet of horses, were severed from the limbs by that powerful weapon",Europe
53,18,"Preston Pans, Scotland",1745.0,Broadsword,MacGregor Infantry,Cut,Leg,Incapacitation,Incapacitation,unspecified,,Dismemberment,,BSF 296,"With the broadsword alone, strength and skill enabled them to do prodigious execution. Men’s feet and hands, and also the feet of horses, were severed from the limbs by that powerful weapon",Europe
54,19,"Culloden, Scotland",1746.0,Broadsword,Major Macbean,Cut,Head,Death,,unspecified,,,,BSF 301,"Captain Lord Robert Ker, of Barrell’s Regiment, and son to the Marquis of Lothian: his head was cut, by Major Macbean, from the crown thereof to the collar bone; and afterwards he was hacked in pieces.”",Europe
55,20,Portuguese Civil War,1833.0,Saber,Alexander Tolmer,Cut,Head,Incapacitation,Incapacitation,Horse,Cut No. 5,Cut through mouth,Dismemberment,BSF 305,"Lieutenant Wilkinson made a ‘cut five’ across the fellow’s face with such force that his lower jaw fell on his chest. He was only a few yards from me; and although the occurrence was instantaneous, I distinctly saw the inside of his gullet. Doubtless the blow would have been repeated, but the fellow dashed away and disappeared.”",Europe
56,21,Castrajon,1812.0,Saber,Sir Andrew Leith Hay,Cut,Various,Ineffective,Ineffective,Horse,French cutting,,,BSF 487,"After the action at Castrajon in 1812, a British officer observed “wounded dragoons exhibiting, in the cuts they had received, the comparatively harmless effect of sabre encounters when contrasted with the more deadly working of musketry or thrusts from the straight sword of the French dragoon.” (Sir Andrew Leith Hay, A Narrative of the Peninsular War, 1839.)",Europe
57,22,Castrajon,1812.0,Saber,Capt. Moyle Sherer,Cut,Various,Ineffective,Ineffective,Horse,French cutting,,,BSF 487,"“the injury of a sabre cut, as compared to a gun-shot wound, is, in nine cases out of ten, trifling.” (Capt. Moyle Sherer, Recollections of the Peninsula, 1824.)",Europe
58,23,Bienvenida,1810.0,Saber,Capt. William Bragge,Cut,Various,Ineffective,Ineffective,Horse,,,,BSF 487,"“It is worthy of remark that scarcely one Frenchman died of his wounds, though dreadfully chopped; whereas twelve English dragoons were killed on the spot, and others dangerously wounded, by thrusts.” (Capt. William Bragge, 3rd Light Dragoons, regarding the cavalry action at Bienvenida in 1810. Ms. copy, priv. coll.)",Europe
59,24,AAR,1834.0,Saber,noncombatant,Cut,Head,Death,,unspecified,Bisection,,,BSF 487,"“[Dr. J. B.] Paroisse [an eminent French military surgeon] gives an account of twenty-two French soldiers, from whose skulls portions of bone with the scalp and slices of the upper part of the brain had been separated by sabre wounds. All these men ultimately died.” (Prof. Samuel Cooper, “Wounds of the Brain,” London Medical and Surgical Journal, 1834.)",Europe
60,25,Various,1810.0,Saber,British cavalry,Cut,Various,unspecified,unspecified,Horse,Dismemberment,,,BSF 489,"“The English found us very dangerous with the sword. We always used the point of our sabres; whereas they used nothing but the edge of the blade, which was three inches wide. So it happened that, out of every twenty blows that they dealt, nineteen fell flat. But if the edge succeeded once, the blow was terrible; and it was not uncommon to see an arm cut clean from the body.” (Mémoires de Parquin, 1911.)",Europe
61,26,Various,1810.0,Saber,British cavalry,Cut,Head,unspecified,unspecified,unspecified,,,,BSF 490,"“The sabre cuts inflicted by our cavalry are frightful, some of their [the French] faces being nearly obliterated, others with dangerous cuts upon the head, arms, and legs. I never saw such severe wounds in the course of my service.” (Lt. Robert Fernyhough, Military Memoirs, 1829.)",Europe
62,27,Morales de Toro,1813.0,Saber,Lt. George Woodberry,Cut,Head,Incapacitation,Incapacitation,Horse,Blinded,,,BSF 491,"“I had a cut at one man who made point at me, but which I parried. I spoiled his beauty, if I did not take his life; for I gave him a most severe cut across the eyes and cheek, and must have cut them out.” (Journal of Lieutenant George Woodberry, 1896.)",Europe
63,28,Campo Mayor,1811.0,Saber,British cavalry,Cut,Head,Death,,Horse,Bisection,,,BSF 491,"‘the [French] colonel of hussars, Chamorin, a distinguished officer, fell in single combat with a trooper of the 13th Dragoons, an Irishman of astonishing might, whose sword went through helmet and head with a single blow.’",Europe
64,29,Logan vs Chamorin,1810.0,Saber,Corporal Logan,Cut,Head,Death,,Horse,Bisection,,,BSF 492,"The Englishman’s opportunity had come; and with one mighty blow, he nearly cleft the Frenchman’s skull asunder, the edge of the sword passing through the brains as far as the nose.” (Col. W. W. Knollys, “Albuera,” Battles of the Nineteenth Century, 1897.)",Europe
65,29,Logan vs Chamorin,1810.0,Saber,Corporal Logan,Cut,Head,Ineffective,Ineffective,Horse,,,,BSF 492,"Twice did the corporal cut the colonel across the face; and on the second occasion, the latter’s helmet came off, leaving his head exposed.",Europe
66,29,Logan vs Chamorin,1810.0,Saber,Corporal Logan,Cut,Head,Ineffective,Ineffective,Horse,Armor failure,,,BSF 492,"Twice did the corporal cut the colonel across the face; and on the second occasion, the latter’s helmet came off, leaving his head exposed.",Europe
67,30,French officer vs English horseman,1810.0,Saber,English horseman,Cut,Head,Death,,Horse,Double,,,BSF 492,"he seemed only to give more force to his descending weapon, which bit into the Frenchman’s brain, and both fell dead together.’",Europe
68,30,French officer vs English horseman,1810.0,Saber,French officer,Thrust,Torso,Ineffective,Ineffective,Horse,Double,,,BSF 492,"On the 19th of June following, there was a cavalry skirmish in which ‘an English horseman, standing high in his stirrups, with raised sword, encountered a French officer who pierced him under the arm; slowly the weapon was driven through his body, yet no shrinking motion could be observed;",Europe
69,31,Campo Mayor,1811.0,Saber,English horseman,Cut,Head,Death,,Horse,Bisection,,,BSF 495,"he followed up his blow with a terrible backhanded sweep of his sword, and struck off the upper part of the colonel’s skull close above his ears. I viewed his body a few minutes after his death. His brains had fallen out, and the cavity was empty. I heard afterwards that the colonel was a French marquis.” (Rough Notes of Seven Campaigns, 1869.)",Europe
70,31,Campo Mayor,1811.0,Saber,English horseman,Cut,Head,Ineffective,Ineffective,Horse,Armor failure,,,BSF 495,"The corporal, being a good swordsman and not much disabled, by a skilful stroke cut the fastening of the colonel’s brass helmet; which falling off",Europe
71,31,Campo Mayor,1811.0,Saber,French colonel,unspecified,unspecified,Ineffective,Ineffective,Horse,,,,BSF 495,"Being enraged, the colonel attacked the English horseman and wounded him slightly",Europe
72,32,Pvt. George Farmer vs French Dragoon,1810.0,Saber,Pvt. George Farmer,Thrust,Head,Death,,Horse,Double,Armor failure,Bisection,BSF 496,"yet, though he felt the sword in its progress, he, with characteristic self-command, kept his eye still on the enemy in his front, and raising himself in his stirrups, let fall upon the Frenchman’s helmet such a blow that brass and skull parted before it; and the man’s head was cloven asunder to the chin. It was the most tremendous blow I ever beheld struck; and both he who gave, and his opponent who received it, dropped dead together. The brass helmet was afterwards examined by order of the French officer, who, as well as myself, was astonished at the exploit; and the cut was found to be as clean as if the sword had gone through a turnip, not so much as a dint being left on either side of it.” (“Reminiscences of a Light Dragoon,” United Service Journal, 1840.)",Europe
73,32,Pvt. George Farmer vs French Dragoon,1810.0,Saber,French Dragoon,Thrust,Torso,Ineffective,Ineffective,Horse,Double,,,BSF 496,"Just then, a French officer delivered a thrust at poor Harry Wilson’s body, and delivered it effectually. I firmly believe that Wilson died on the instant;",Europe
74,33,Lord Paget vs French trooper,1810.0,Saber,Lord Paget,Cut,Torso,Death,,Horse,Bisection,,,BSF 496,"as the fellow was carried past him by the impetus of his career, Lord Paget, standing in his stirrups, struck him with the full force of his powerful arm across the loins, severed the spine so that the trunk fell forward, leaving the lower quarters in the saddle.” (William White Cooper, British surgeon-oculist, quoted by Mrs. Andrew Cross in “Records of an All-Round Man,” Temple Bar, 1894.)",Europe
75,34,Salamanca,1812.0,Saber,French officer,Cut,Hand,Ineffective,Ineffective,Horse,French cutting,Armor failure,,BSF 496,"He made several cuts at the head of my horse, and succeeded in cutting one of my reins and the forefinger of my bridle hand, which was, however, saved by the thick glove I wore, though the finger was cut very deeply to the joint.",Europe
